Frame,Raw_Intensity,Processed_Intensity
582,8.55,0.4908
583,109.94,0.3478
584,139.99,0.2225
585,18.84,0.2223
586,9.7,0.2914
587,8.38,0.3562
588,184.19,0.4906
589,209.65,0.679
590,163.16,0.8092
591,212.16,0.7951
592,148.24,0.6103
593,169.06,0.5105
594,11.14,0.3236
595,55.95,0.2142
596,11.31,0.1873
597,30.69,0.3037
598,140.15,0.4005
599,136.2,0.5728
600,159.95,0.5686
601,196.43,0.4481
602,26.25,0.501
603,10.64,0.5065
604,193.05,0.3751
605,165.84,0.3616
606,55.25,0.4212
607,11.74,0.3738
608,74.68,0.3469
609,142.16,0.4529
610,136.92,0.5645
611,169.1,0.619
612,131.72,0.6114
613,133.2,0.4892
614,134.02,0.4144
615,5.64,0.436
616,88.72,0.3909
617,154.9,0.2715
618,84.73,0.3247
619,5.72,0.2695
620,62.83,0.1623
621,29.4,0.0933
622,39.68,0.2176
623,10.67,0.2819
624,139.24,0.3344
625,131.95,0.3025
626,85.8,0.4174
627,5.38,0.4213
628,134.12,0.4335
629,143.44,0.4902
630,144.98,0.6778
631,146.82,0.744
632,206.93,0.7281
633,205.24,0.6069
634,126.37,0.5095
635,14.75,0.3273
636,42.14,0.1627
637,11.11,0.1904
638,28.4,0.3631
639,156.14,0.4814
640,200.37,0.5847
641,169.22,0.562
642,122.16,0.4635
643,3.98,0.4724
644,50.31,0.481
645,209.95,0.3791
646,178.39,0.3857
647,12.71,0.3518
648,11.07,0.1839
649,13.86,0.1612
650,29.56,0.2799
651,153.96,0.3405
652,140.35,0.3397
653,76.12,0.4381
654,12.96,0.4207
655,135.34,0.4186
656,135.27,0.5353
657,138.06,0.6641
658,201.54,0.5456
659,151.39,0.475
660,7.92,0.355
661,59.44,0.1935
662,9.18,0.0612
663,28.0,0.1175
664,9.27,0.2215
665,68.33,0.2252
666,171.26,0.2423
667,13.07,0.2518
668,46.39,0.2068
669,19.55,0.0602
670,19.92,0.0599
671,13.74,0.037
672,12.82,0.0607
673,21.72,0.2417
674,45.02,0.3754
675,214.43,0.4838
676,157.37,0.4658
677,129.32,0.5525
678,2.3,0.4787
679,138.2,0.376
680,135.2,0.2654
681,47.02,0.2974
682,10.49,0.1811
683,36.63,0.135
684,13.26,0.2316
685,85.69,0.2774
686,150.78,0.2495
687,59.7,0.2923
688,6.66,0.3667
689,59.22,0.3954
690,165.67,0.347
691,181.59,0.3443
692,7.65,0.3167
693,3.77,0.2027
694,29.56,0.2252
695,43.25,0.4068
696,205.73,0.589
697,202.77,0.7185
698,199.52,0.8601
699,168.7,0.8096
700,195.42,0.835
701,151.51,0.8657
702,230.02,0.8243
703,232.55,0.662
704,124.19,0.6929
705,21.0,0.6421
706,184.77,0.4443
707,175.41,0.3372
708,20.03,0.3679
709,9.14,0.3788
710,53.98,0.3632
711,196.44,0.4871
712,158.7,0.5168
713,153.07,0.5026
714,41.13,0.5144
715,38.64,0.508
716,209.11,0.5604
717,151.91,0.6709
718,209.3,0.801
719,159.93,0.7973
720,178.41,0.7248
721,205.14,0.5332
722,74.02,0.4463
723,3.44,0.2936
724,66.47,0.2318
725,14.44,0.2855
726,138.71,0.4065
727,131.68,0.3501
728,133.41,0.3742
729,5.9,0.2564
730,40.4,0.3409
731,12.06,0.3998
732,222.55,0.5259
733,196.66,0.5366
734,141.4,0.5557
735,51.9,0.3618
736,32.62,0.1813
737,14.21,0.0942
738,2.64,0.0673
739,47.81,0.0797
740,23.06,0.0764
741,45.91,0.0926
742,10.69,0.06
743,19.99,0.0697
744,12.78,0.0372
745,33.54,0.1599
746,10.96,0.2771
747,142.51,0.3083
748,145.94,0.2931
749,46.32,0.5033
750,17.23,0.5652
751,236.81,0.566
752,209.02,0.6489
753,146.74,0.7507
754,135.4,0.5408
755,126.58,0.361
756,11.35,0.254
757,15.75,0.1752
758,31.78,0.0824
759,50.77,0.2555
760,26.92,0.3634
761,197.32,0.3836
762,131.72,0.3741
763,53.4,0.4064
764,40.6,0.2333
765,61.62,0.2476
766,11.3,0.3349
767,147.12,0.3256
768,147.18,0.2804
769,30.6,0.4249
770,13.12,0.4318
771,166.5,0.4299
772,154.56,0.5247
773,145.15,0.5556
774,132.44,0.4099
775,46.36,0.272
776,9.91,0.1497
777,6.39,0.0744
778,13.7,0.1607
779,51.56,0.2305
780,139.15,0.2384
781,84.82,0.347
782,14.89,0.4172
783,130.38,0.4082
784,127.06,0.3773
785,129.47,0.3735
786,51.54,0.44
787,10.82,0.424
788,201.89,0.3501
789,109.82,0.3118
790,50.11,0.4854
791,10.32,0.434
792,197.43,0.4764
793,146.65,0.5679
794,155.37,0.5806
795,148.38,0.411
796,24.06,0.4009
797,15.12,0.3058
798,135.78,0.1804
799,53.17,0.1688
800,13.66,0.1613
801,11.6,0.067
802,7.09,0.0514
803,34.52,0.0453
804,36.33,0.0413
805,7.13,0.2347
806,7.34,0.3822
807,214.83,0.5518
808,193.04,0.6049
809,218.51,0.6011
810,64.17,0.5459
811,3.3,0.497
