Frame,Raw_Intensity,Processed_Intensity
444,1.28,0.0013
445,1.86,0.0013
446,1.26,0.0018
447,1.55,0.0024
448,2.25,0.0024
449,1.9,0.0027
450,1.9,0.0032
451,1.6,0.0029
452,2.26,0.0024
453,1.8,0.0018
454,1.27,0.0018
455,1.27,0.0009
456,1.53,0.0006
457,1.15,0.0009
458,1.48,0.001
459,1.55,0.0009
460,1.4,0.0016
461,1.4,0.0023
462,2.1,0.0021
463,2.33,0.0021
464,1.3,0.0027
465,1.4,0.002
466,2.06,0.0021
467,1.36,0.0031
468,2.43,0.0039
469,2.43,0.0034
470,2.44,0.0041
471,1.45,0.0041
472,2.19,0.0045
473,2.45,0.0047
474,2.97,0.0055
475,2.6,0.0057
476,2.5,0.0058
477,2.4,0.0052
478,2.56,0.0052
479,2.24,0.0052
480,2.58,0.0056
481,2.48,0.0059
482,2.88,0.0058
483,2.96,0.0057
484,2.18,0.0058
485,2.42,0.0054
486,2.64,0.0048
487,2.3,0.0049
488,2.34,0.0055
489,2.25,0.005
490,3.1,0.0048
491,2.06,0.0051
492,2.04,0.0051
493,2.76,0.0048
494,2.27,0.0057
495,2.68,0.0058
496,3.17,0.0058
497,2.1,0.0063
498,2.78,0.0066
499,2.89,0.0061
500,3.1,0.0061
501,2.5,0.0056
502,2.08,0.0058
503,2.15,0.0056
504,3.2,0.0059
505,2.83,0.0056
506,2.9,0.0057
507,1.74,0.0048
508,2.2,0.0042
509,2.18,0.0036
510,2.1,0.0039
511,2.1,0.0038
512,2.1,0.0041
513,2.1,0.0047
514,2.5,0.004
515,2.95,0.0044
516,1.15,0.0042
517,2.58,0.0031
518,1.9,0.002
519,1.14,0.0031
520,1.6,0.0021
521,2.5,0.0024
522,1.32,0.0032
523,2.26,0.0031
524,2.2,0.0027
525,1.5,0.003
526,2.0,0.0028
527,1.6,0.0023
528,2.11,0.0032
529,1.59,0.0032
530,2.58,0.0035
531,2.0,0.0028
532,2.0,0.0028
533,1.24,0.0026
534,1.5,0.0027
535,2.4,0.002
536,2.1,0.0025
537,1.1,0.0024
538,1.92,0.0018
539,1.3,0.0014
540,1.7,0.0018
541,1.68,0.0017
542,1.6,0.0023
543,1.8,0.0025
544,2.0,0.0023
545,1.92,0.0021
546,1.4,0.0016
547,1.4,0.0016
548,1.2,0.0017
549,1.94,0.0018
550,2.1,0.0018
551,1.51,0.0021
552,1.44,0.002
553,1.55,0.0018
554,1.8,0.0014
555,1.8,0.0013
556,1.1,0.0022
557,1.32,0.0019
558,2.6,0.0016
559,1.5,0.0024
560,1.4,0.0031
561,2.1,0.0027
562,2.1,0.0024
563,2.1,0.0024
564,1.12,0.0022
565,1.45,0.0015
566,1.87,0.0018
567,1.2,0.0027
568,2.49,0.0026
569,2.22,0.0021
570,1.4,0.0024
571,1.2,0.0016
572,1.6,0.0015
573,1.45,0.0014
574,2.1,0.0016
575,1.3,0.0016
576,1.5,0.0021
577,1.5,0.0015
578,2.1,0.0017
579,1.32,0.0019
580,1.6,0.002
581,1.8,0.0016
582,1.6,0.002
583,1.57,0.0016
584,1.8,0.001
585,1.08,0.0007
586,1.08,0.0007
587,1.32,0.0003
588,1.56,0.0006
589,1.28,0.0007
590,1.4,0.0008
591,1.2,0.0008
592,1.5,0.0008
593,1.5,0.0009
594,1.3,0.0009
595,1.49,0.0008
596,1.22,0.0008
597,1.47,0.0008
598,1.5,0.0017
599,1.3,0.0024
600,2.5,0.0027
601,2.1,0.0031
602,1.9,0.0035
603,1.96,0.003
604,1.8,0.0027
605,1.8,0.0025
606,1.8,0.0018
607,1.6,0.002
608,1.2,0.0015
609,2.0,0.0018
610,1.2,0.0019
611,2.11,0.003
612,1.76,0.0029
613,2.5,0.003
614,1.96,0.0023
615,1.34,0.0024
616,1.22,0.0014
617,1.91,0.0015
618,1.21,0.002
619,2.1,0.003
620,1.92,0.0023
621,2.42,0.0028
622,1.14,0.0023
623,1.8,0.0024
624,1.5,0.0013
625,1.96,0.0015
626,1.1,0.0011
627,1.4,0.0015
628,1.3,0.0013
629,2.0,0.0013
630,1.68,0.0014
631,1.18,0.0024
632,1.48,0.002
633,2.48,0.0019
634,1.51,0.0024
635,1.6,0.0025
636,1.8,0.0017
637,1.6,0.0018
638,1.5,0.0018
639,1.6,0.0021
640,1.6,0.0025
641,2.25,0.0027
642,2.02,0.0023
643,1.73,0.002
644,1.17,0.0011
645,1.17,0.0005
646,1.18,0.0
647,1.25,0.0001
648,1.17,0.0011
649,1.32,0.0018
650,2.42,0.0023
651,2.0,0.0024
652,1.9,0.0026
653,1.22,0.002
654,1.58,0.0019
655,1.63,0.0019
656,1.9,0.0024
657,1.9,0.0024
658,1.9,0.0031
659,1.5,0.0026
660,2.5,0.0021
661,1.3,0.0022
662,1.3,0.0026
663,2.05,0.0015
664,2.0,0.0026
665,1.13,0.0038
666,2.62,0.0038
667,2.77,0.0034
668,2.04,0.0041
669,1.49,0.0031
670,2.05,0.0021
671,1.38,0.0021
672,1.55,0.0019
673,2.0,0.0012
674,1.31,0.0017
675,1.2,0.0018
676,1.96,0.0016
677,1.64,0.0017
678,1.8,0.002
679,1.45,0.0015
680,1.5,0.0014
681,1.44,0.0012
682,1.44,0.0012
683,1.62,0.0011
684,1.4,0.001
685,1.39,0.0009
686,1.36,0.0006
687,1.29,0.0007
688,1.23,0.0008
689,1.47,0.0009
690,1.61,0.0009
691,1.43,0.0009
692,1.35,0.0013
693,1.2,0.0009
694,1.9,0.0007
695,1.2,0.0006
696,1.2,0.0006
697,1.2,0.0002
698,1.2,0.0007
699,1.36,0.0013
700,1.84,0.002
701,1.94,0.002
702,2.0,0.0026
703,1.28,0.0021
704,2.0,0.0015
705,1.28,0.0012
706,1.2,0.0014
707,1.6,0.0007
708,1.6,0.0006
709,1.12,0.0009
710,1.2,0.0006
711,1.5,0.0006
712,1.28,0.0014
713,1.62,0.0029
714,2.1,0.003
715,3.0,0.0028
716,1.6,0.0024
717,1.01,0.0017
718,1.2,0.0009
719,1.2,0.0012
720,1.99,0.002
721,2.0,0.0027
722,2.0,0.0033
723,2.0,0.0033
724,2.0,0.0027
725,2.0,0.0022
726,1.2,0.0018
727,1.4,0.0023
728,1.6,0.0021
729,2.56,0.0025
730,1.74,0.0023
731,1.71,0.0027
732,1.2,0.0017
733,2.0,0.0017
734,1.43,0.0016
735,1.66,0.002
736,1.66,0.002
737,1.66,0.0023
738,1.92,0.0024
739,1.8,0.0025
740,1.85,0.0026
741,1.76,0.0019
742,1.76,0.0014
743,1.14,0.0015
744,1.19,0.001
745,1.95,0.0011
746,1.14,0.0014
747,1.92,0.0015
748,1.4,0.0009
749,1.32,0.0012
750,1.3,0.0008
751,1.42,0.0005
752,1.5,0.0005
753,1.02,0.0012
754,1.34,0.0012
755,2.16,0.0015
756,1.4,0.0018
757,1.89,0.0017
758,1.37,0.001
759,1.25,0.0008
760,1.25,0.0005
761,1.16,0.0013
762,1.5,0.0018
763,2.39,0.0017
764,1.79,0.0019
765,1.2,0.0016
766,1.34,0.0009
767,1.18,0.0008
768,1.52,0.001
769,1.62,0.0009
770,1.56,0.0009
771,1.18,0.0006
772,1.18,0.0003
773,1.18,0.0002
774,1.18,0.0007
775,1.45,0.0008
776,1.84,0.0009
777,1.26,0.0012
778,1.33,0.0012
779,1.5,0.0006
780,1.5,0.0006
781,1.1,0.0005
782,1.3,0.0006
783,1.2,0.0009
784,1.52,0.0012
785,1.87,0.0012
786,1.5,0.0012
787,1.3,0.001
788,1.2,0.0012
789,1.3,0.0011
790,2.1,0.0012
791,1.36,0.0015
792,1.5,0.0015
793,1.5,0.0012
794,1.34,0.001
795,1.72,0.0008
796,1.15,0.0006
797,1.25,0.0006
798,1.2,0.0007
799,1.32,0.0008
800,1.86,0.0009
801,1.24,0.001
802,1.46,0.0011
803,1.33,0.0005
804,1.4,0.0004
805,1.11,0.0005
806,1.08,0.0005
807,1.6,0.0005
808,1.4,0.0007
809,1.4,0.0009
810,1.3,0.0008
811,1.4,0.0008
812,1.4,0.0008
813,1.4,0.0007
814,1.44,0.0007
815,1.2,0.001
816,1.32,0.0013
817,1.8,0.0019
818,1.72,0.0019
819,2.2,0.0021
820,1.2,0.0026
821,1.64,0.0022
822,2.34,0.0023
823,1.24,0.0029
824,2.32,0.0027
825,2.0,0.0019
826,1.33,0.002
827,1.34,0.0012
828,1.44,0.0005
829,1.26,0.0006
830,1.2,0.0006
831,1.4,0.0003
832,1.4,0.001
833,1.1,0.0013
834,2.1,0.001
835,1.5,0.0009
836,1.1,0.0015
837,1.2,0.0011
838,1.83,0.0009
839,1.67,0.001
840,1.3,0.001
841,1.14,0.0008
842,1.21,0.0008
843,1.6,0.0013
844,1.68,0.0015
845,1.95,0.0016
846,1.36,0.0017
847,1.35,0.0015
848,1.68,0.0012
849,1.5,0.0013
850,1.5,0.0015
851,1.5,0.0019
852,1.55,0.0029
853,2.26,0.003
854,2.62,0.0032
855,1.65,0.0035
856,1.75,0.0032
857,2.0,0.0027
858,1.86,0.003
859,2.0,0.0032
860,2.0,0.0023
861,2.0,0.0017
862,0.9,0.0011
863,1.11,0.0006
864,1.32,0.0001
865,1.4,0.0006
866,1.28,0.0012
867,1.6,0.0018
868,1.86,0.0022
869,2.0,0.0027
870,1.92,0.0027
871,1.92,0.003
872,1.6,0.0029
873,2.21,0.0032
874,1.83,0.0028
875,2.25,0.0029
876,1.43,0.0022
877,1.8,0.0019
878,1.38,0.0015
879,1.39,0.0022
880,1.81,0.0019
881,2.31,0.0022
882,1.4,0.0023
883,1.75,0.0025
884,1.5,0.0016
885,2.0,0.0016
886,1.29,0.0018
887,1.31,0.0022
888,2.0,0.0018
889,2.0,0.0024
890,1.6,0.003
891,2.0,0.0023
892,2.0,0.0022
893,1.1,0.0021
894,1.89,0.002
895,1.5,0.0016
896,1.92,0.002
897,1.5,0.0021
898,1.6,0.0018
899,2.0,0.0017
900,1.1,0.002
901,1.84,0.0022
902,1.84,0.0021
903,1.84,0.0021
904,1.84,0.0023
905,1.18,0.0019
906,2.1,0.0018
907,1.36,0.0019
908,1.66,0.0023
909,2.0,0.0016
910,1.6,0.0016
911,1.3,0.0015
912,1.33,0.0012
913,1.56,0.0011
914,1.56,0.0012
915,1.56,0.0016
916,1.38,0.0015
917,1.8,0.0019
918,1.46,0.0022
919,2.05,0.0028
920,2.0,0.0025
921,2.0,0.0024
922,1.5,0.0021
923,1.3,0.002
924,1.7,0.0018
925,1.85,0.0018
926,1.85,0.0025
927,1.48,0.0024
928,2.15,0.0022
929,1.5,0.0024
930,1.64,0.0029
931,2.11,0.0021
932,2.06,0.0019
933,1.2,0.0015
934,1.2,0.0008
935,1.2,0.0
936,1.2,0.0002
937,1.2,0.0007
938,1.36,0.0006
939,1.83,0.0006
940,1.08,0.0006
941,1.2,0.0014
942,1.25,0.0008
943,2.24,0.001
944,1.16,0.0019
945,1.36,0.0028
946,2.3,0.0019
947,2.3,0.0029
948,1.2,0.0029
949,2.32,0.002
950,1.4,0.0013
951,1.22,0.0026
952,1.44,0.002
953,2.77,0.002
954,1.5,0.0023
955,1.5,0.0023
956,1.55,0.0013
957,1.49,0.0013
958,1.5,0.0012
959,1.46,0.0011
960,1.4,0.0008
961,1.4,0.0008
962,1.12,0.0006
963,1.5,0.0008
964,1.3,0.0006
965,1.6,0.0014
966,1.2,0.0011
967,2.0,0.001
968,1.21,0.0009
969,1.17,0.0009
970,1.5,0.0009
971,1.2,0.0012
972,2.0,0.0015
973,1.5,0.0016
974,1.52,0.0027
975,1.7,0.0025
976,2.52,0.0024
977,1.7,0.003
978,1.48,0.0027
979,2.22,0.0016
980,1.33,0.0019
981,1.16,0.0016
982,2.1,0.0015
983,1.1,0.0021
984,2.1,0.0027
985,2.1,0.0027
