Frame,Raw_Intensity,Processed_Intensity
955,5.83,0.0105
956,5.81,0.01
957,5.33,0.0102
958,5.34,0.0101
959,6.05,0.0087
960,5.77,0.0084
961,4.01,0.0081
962,5.0,0.0077
963,5.0,0.0988
964,5.5,0.2065
965,117.98,0.3008
966,136.66,0.3948
967,121.0,0.3924
968,120.78,0.3018
969,2.56,0.288
970,6.42,0.304
971,119.69,0.3304
972,140.62,0.3327
973,153.39,0.332
974,5.38,0.2395
975,5.54,0.1302
976,5.82,0.068
977,5.98,0.2334
978,76.84,0.383
979,209.01,0.5327
980,189.77,0.6834
981,190.1,0.7668
982,191.52,0.6015
983,179.5,0.5405
984,5.56,0.481
985,114.58,0.3299
986,116.96,0.1888
987,5.41,0.2751
988,5.84,0.2819
989,111.78,0.3002
990,122.95,0.4276
991,139.51,0.4284
992,162.24,0.3418
993,6.8,0.2541
994,5.16,0.2328
995,14.97,0.2979
996,113.25,0.4926
997,242.47,0.6511
998,246.52,0.7494
999,200.26,0.7694
1000,136.07,0.6776
1001,137.86,0.6216
1002,129.43,0.4638
1003,177.6,0.4354
1004,5.92,0.4173
1005,101.06,0.4112
1006,115.56,0.2715
1007,121.94,0.2711
1008,5.58,0.3005
1009,5.46,0.3472
1010,137.22,0.343
1011,173.18,0.4536
1012,116.76,0.4542
1013,141.73,0.3478
1014,6.17,0.2121
1015,6.17,0.1216
1016,6.1,0.011
1017,5.4,0.0108
1018,5.5,0.1118
1019,5.96,0.2408
1020,130.51,0.2409
1021,164.9,0.2409
1022,5.56,0.241
1023,5.56,0.1398
1024,6.02,0.0997
1025,5.92,0.1887
1026,115.51,0.1992
1027,115.22,0.2079
1028,18.48,0.2973
1029,16.74,0.3043
1030,115.94,0.3117
1031,124.1,0.3967
1032,124.31,0.4876
1033,123.19,0.3979
1034,128.69,0.3997
1035,5.44,0.4021
1036,126.3,0.413
1037,127.29,0.4684
1038,136.62,0.6075
1039,196.86,0.6647
1040,176.78,0.6689
1041,196.73,0.7482
1042,132.46,0.704
1043,234.24,0.5648
1044,142.36,0.422
1045,5.4,0.4121
1046,20.89,0.3312
1047,120.34,0.2205
1048,134.64,0.3093
1049,6.0,0.3995
1050,114.76,0.3978
1051,132.01,0.3789
1052,118.16,0.4723
1053,111.45,0.533
1054,120.94,0.607
1055,189.48,0.6801
1056,223.21,0.7586
1057,208.07,0.8295
1058,208.14,0.8743
1059,208.21,0.8422
1060,244.7,0.8494
1061,183.6,0.8782
1062,216.99,0.802
1063,243.65,0.6082
1064,114.33,0.5472
1065,6.04,0.4598
1066,108.6,0.3669
1067,109.3,0.2788
1068,129.33,0.2786
1069,5.85,0.2911
1070,5.72,0.3059
1071,124.09,0.2937
1072,127.47,0.3932
1073,114.34,0.5017
1074,128.28,0.491
1075,139.34,0.4988
1076,111.0,0.5162
1077,137.0,0.5224
1078,135.78,0.5583
1079,135.86,0.6138
1080,183.62,0.6468
1081,179.28,0.6251
1082,177.65,0.5988
1083,109.06,0.5425
1084,103.51,0.4011
1085,114.25,0.3676
1086,5.16,0.3774
1087,136.45,0.2968
1088,121.18,0.2087
1089,4.28,0.3049
1090,5.74,0.3555
1091,123.6,0.4039
1092,198.73,0.5055
1093,180.8,0.5515
1094,129.32,0.4556
1095,62.44,0.2987
1096,5.54,0.3469
1097,5.54,0.4364
1098,240.07,0.5801
1099,239.54,0.7107
1100,239.44,0.8525
1101,166.31,0.8035
1102,180.05,0.6142
1103,179.76,0.4252
1104,6.46,0.2955
1105,6.72,0.1774
1106,6.72,0.1328
1107,34.61,0.2372
1108,124.86,0.236
1109,134.93,0.3391
1110,5.32,0.4247
1111,133.62,0.425
1112,140.04,0.4086
1113,125.15,0.5106
1114,114.76,0.407
1115,130.91,0.3775
1116,6.06,0.3828
1117,103.72,0.4189
1118,131.69,0.4948
1119,159.24,0.591
